Pokedex Number,Name,Types,Generation,Region,Previous Evolution,Evolution
1,Bulbasaur,"Grass, Poison",Generation-i,Kanto,Bulbasaur,"Ivysaur, Venusaur"
2,Ivysaur,"Grass, Poison",Generation-i,Kanto,Bulbasaur,"Ivysaur, Venusaur"
3,Venusaur,"Grass, Poison",Generation-i,Kanto,Bulbasaur,"Ivysaur, Venusaur"
4,Charmander,Fire,Generation-i,Kanto,Charmander,"Charmeleon, Charizard"
5,Charmeleon,Fire,Generation-i,Kanto,Charmander,"Charmeleon, Charizard"
6,Charizard,"Fire, Flying",Generation-i,Kanto,Charmander,"Charmeleon, Charizard"
7,Squirtle,Water,Generation-i,Kanto,Squirtle,"Wartortle, Blastoise"
8,Wartortle,Water,Generation-i,Kanto,Squirtle,"Wartortle, Blastoise"
9,Blastoise,Water,Generation-i,Kanto,Squirtle,"Wartortle, Blastoise"
10,Caterpie,Bug,Generation-i,Kanto,Caterpie,"Metapod, Butterfree"
11,Metapod,Bug,Generation-i,Kanto,Caterpie,"Metapod, Butterfree"
12,Butterfree,"Bug, Flying",Generation-i,Kanto,Caterpie,"Metapod, Butterfree"
13,Weedle,"Bug, Poison",Generation-i,Kanto,Weedle,"Kakuna, Beedrill"
14,Kakuna,"Bug, Poison",Generation-i,Kanto,Weedle,"Kakuna, Beedrill"
15,Beedrill,"Bug, Poison",Generation-i,Kanto,Weedle,"Kakuna, Beedrill"
16,Pidgey,"Normal, Flying",Generation-i,Kanto,Pidgey,"Pidgeotto, Pidgeot"
17,Pidgeotto,"Normal, Flying",Generation-i,Kanto,Pidgey,"Pidgeotto, Pidgeot"
18,Pidgeot,"Normal, Flying",Generation-i,Kanto,Pidgey,"Pidgeotto, Pidgeot"
19,Rattata,Normal,Generation-i,Kanto,Rattata,Raticate
20,Raticate,Normal,Generation-i,Kanto,Rattata,Raticate
21,Spearow,"Normal, Flying",Generation-i,Kanto,Spearow,Fearow
22,Fearow,"Normal, Flying",Generation-i,Kanto,Spearow,Fearow
23,Ekans,Poison,Generation-i,Kanto,Ekans,Arbok
24,Arbok,Poison,Generation-i,Kanto,Ekans,Arbok
25,Pikachu,Electric,Generation-i,Kanto,Pichu,"Pikachu, Raichu"
26,Raichu,Electric,Generation-i,Kanto,Pichu,"Pikachu, Raichu"
27,Sandshrew,Ground,Generation-i,Kanto,Sandshrew,Sandslash
28,Sandslash,Ground,Generation-i,Kanto,Sandshrew,Sandslash
29,Nidoran-f,Poison,Generation-i,Kanto,Nidoran-f,"Nidorina, Nidoqueen"
30,Nidorina,Poison,Generation-i,Kanto,Nidoran-f,"Nidorina, Nidoqueen"
31,Nidoqueen,"Poison, Ground",Generation-i,Kanto,Nidoran-f,"Nidorina, Nidoqueen"
32,Nidoran-m,Poison,Generation-i,Kanto,Nidoran-m,"Nidorino, Nidoking"
33,Nidorino,Poison,Generation-i,Kanto,Nidoran-m,"Nidorino, Nidoking"
34,Nidoking,"Poison, Ground",Generation-i,Kanto,Nidoran-m,"Nidorino, Nidoking"
35,Clefairy,Fairy,Generation-i,Kanto,Cleffa,"Clefairy, Clefable"
36,Clefable,Fairy,Generation-i,Kanto,Cleffa,"Clefairy, Clefable"
37,Vulpix,Fire,Generation-i,Kanto,Vulpix,Ninetales
38,Ninetales,Fire,Generation-i,Kanto,Vulpix,Ninetales
39,Jigglypuff,"Normal, Fairy",Generation-i,Kanto,Igglybuff,"Jigglypuff, Wigglytuff"
40,Wigglytuff,"Normal, Fairy",Generation-i,Kanto,Igglybuff,"Jigglypuff, Wigglytuff"
41,Zubat,"Poison, Flying",Generation-i,Kanto,Zubat,"Golbat, Crobat"
42,Golbat,"Poison, Flying",Generation-i,Kanto,Zubat,"Golbat, Crobat"
43,Oddish,"Grass, Poison",Generation-i,Kanto,Oddish,"Gloom, Vileplume"
44,Gloom,"Grass, Poison",Generation-i,Kanto,Oddish,"Gloom, Vileplume"
45,Vileplume,"Grass, Poison",Generation-i,Kanto,Oddish,"Gloom, Vileplume"
46,Paras,"Bug, Grass",Generation-i,Kanto,Paras,Parasect
47,Parasect,"Bug, Grass",Generation-i,Kanto,Paras,Parasect
48,Venonat,"Bug, Poison",Generation-i,Kanto,Venonat,Venomoth
49,Venomoth,"Bug, Poison",Generation-i,Kanto,Venonat,Venomoth
50,Diglett,Ground,Generation-i,Kanto,Diglett,Dugtrio
51,Dugtrio,Ground,Generation-i,Kanto,Diglett,Dugtrio
52,Meowth,Normal,Generation-i,Kanto,Meowth,Persian
53,Persian,Normal,Generation-i,Kanto,Meowth,Persian
54,Psyduck,Water,Generation-i,Kanto,Psyduck,Golduck
55,Golduck,Water,Generation-i,Kanto,Psyduck,Golduck
56,Mankey,Fighting,Generation-i,Kanto,Mankey,"Primeape, Annihilape"
57,Primeape,Fighting,Generation-i,Kanto,Mankey,"Primeape, Annihilape"
58,Growlithe,Fire,Generation-i,Kanto,Growlithe,Arcanine
59,Arcanine,Fire,Generation-i,Kanto,Growlithe,Arcanine
60,Poliwag,Water,Generation-i,Kanto,Poliwag,"Poliwhirl, Poliwrath"
61,Poliwhirl,Water,Generation-i,Kanto,Poliwag,"Poliwhirl, Poliwrath"
62,Poliwrath,"Water, Fighting",Generation-i,Kanto,Poliwag,"Poliwhirl, Poliwrath"
63,Abra,Psychic,Generation-i,Kanto,Abra,"Kadabra, Alakazam"
64,Kadabra,Psychic,Generation-i,Kanto,Abra,"Kadabra, Alakazam"
65,Alakazam,Psychic,Generation-i,Kanto,Abra,"Kadabra, Alakazam"
66,Machop,Fighting,Generation-i,Kanto,Machop,"Machoke, Machamp"
67,Machoke,Fighting,Generation-i,Kanto,Machop,"Machoke, Machamp"
68,Machamp,Fighting,Generation-i,Kanto,Machop,"Machoke, Machamp"
69,Bellsprout,"Grass, Poison",Generation-i,Kanto,Bellsprout,"Weepinbell, Victreebel"
70,Weepinbell,"Grass, Poison",Generation-i,Kanto,Bellsprout,"Weepinbell, Victreebel"
71,Victreebel,"Grass, Poison",Generation-i,Kanto,Bellsprout,"Weepinbell, Victreebel"
72,Tentacool,"Water, Poison",Generation-i,Kanto,Tentacool,Tentacruel
73,Tentacruel,"Water, Poison",Generation-i,Kanto,Tentacool,Tentacruel
74,Geodude,"Rock, Ground",Generation-i,Kanto,Geodude,"Graveler, Golem"
75,Graveler,"Rock, Ground",Generation-i,Kanto,Geodude,"Graveler, Golem"
76,Golem,"Rock, Ground",Generation-i,Kanto,Geodude,"Graveler, Golem"
77,Ponyta,Fire,Generation-i,Kanto,Ponyta,Rapidash
78,Rapidash,Fire,Generation-i,Kanto,Ponyta,Rapidash
79,Slowpoke,"Water, Psychic",Generation-i,Kanto,Slowpoke,Slowbro
80,Slowbro,"Water, Psychic",Generation-i,Kanto,Slowpoke,Slowbro
81,Magnemite,"Electric, Steel",Generation-i,Kanto,Magnemite,"Magneton, Magnezone"
82,Magneton,"Electric, Steel",Generation-i,Kanto,Magnemite,"Magneton, Magnezone"
83,Farfetchd,"Normal, Flying",Generation-i,Kanto,Farfetchd,Sirfetchd
84,Doduo,"Normal, Flying",Generation-i,Kanto,Doduo,Dodrio
85,Dodrio,"Normal, Flying",Generation-i,Kanto,Doduo,Dodrio
86,Seel,Water,Generation-i,Kanto,Seel,Dewgong
87,Dewgong,"Water, Ice",Generation-i,Kanto,Seel,Dewgong
88,Grimer,Poison,Generation-i,Kanto,Grimer,Muk
89,Muk,Poison,Generation-i,Kanto,Grimer,Muk
90,Shellder,Water,Generation-i,Kanto,Shellder,Cloyster
91,Cloyster,"Water, Ice",Generation-i,Kanto,Shellder,Cloyster
92,Gastly,"Ghost, Poison",Generation-i,Kanto,Gastly,"Haunter, Gengar"
93,Haunter,"Ghost, Poison",Generation-i,Kanto,Gastly,"Haunter, Gengar"
94,Gengar,"Ghost, Poison",Generation-i,Kanto,Gastly,"Haunter, Gengar"
95,Onix,"Rock, Ground",Generation-i,Kanto,Onix,Steelix
96,Drowzee,Psychic,Generation-i,Kanto,Drowzee,Hypno
97,Hypno,Psychic,Generation-i,Kanto,Drowzee,Hypno
98,Krabby,Water,Generation-i,Kanto,Krabby,Kingler
99,Kingler,Water,Generation-i,Kanto,Krabby,Kingler
100,Voltorb,Electric,Generation-i,Kanto,Voltorb,Electrode
101,Electrode,Electric,Generation-i,Kanto,Voltorb,Electrode
102,Exeggcute,"Grass, Psychic",Generation-i,Kanto,Exeggcute,Exeggutor
103,Exeggutor,"Grass, Psychic",Generation-i,Kanto,Exeggcute,Exeggutor
104,Cubone,Ground,Generation-i,Kanto,Cubone,Marowak
105,Marowak,Ground,Generation-i,Kanto,Cubone,Marowak
106,Hitmonlee,Fighting,Generation-i,Kanto,Tyrogue,Hitmonlee
107,Hitmonchan,Fighting,Generation-i,Kanto,Tyrogue,Hitmonlee
108,Lickitung,Normal,Generation-i,Kanto,Lickitung,Lickilicky
109,Koffing,Poison,Generation-i,Kanto,Koffing,Weezing
110,Weezing,Poison,Generation-i,Kanto,Koffing,Weezing
111,Rhyhorn,"Ground, Rock",Generation-i,Kanto,Rhyhorn,"Rhydon, Rhyperior"
112,Rhydon,"Ground, Rock",Generation-i,Kanto,Rhyhorn,"Rhydon, Rhyperior"
113,Chansey,Normal,Generation-i,Kanto,Happiny,"Chansey, Blissey"
114,Tangela,Grass,Generation-i,Kanto,Tangela,Tangrowth
115,Kangaskhan,Normal,Generation-i,Kanto,,
116,Horsea,Water,Generation-i,Kanto,Horsea,"Seadra, Kingdra"
117,Seadra,Water,Generation-i,Kanto,Horsea,"Seadra, Kingdra"
118,Goldeen,Water,Generation-i,Kanto,Goldeen,Seaking
119,Seaking,Water,Generation-i,Kanto,Goldeen,Seaking
120,Staryu,Water,Generation-i,Kanto,Staryu,Starmie
121,Starmie,"Water, Psychic",Generation-i,Kanto,Staryu,Starmie
122,Mr-mime,"Psychic, Fairy",Generation-i,Kanto,Mime-jr,"Mr-mime, Mr-rime"
123,Scyther,"Bug, Flying",Generation-i,Kanto,Scyther,Scizor
124,Jynx,"Ice, Psychic",Generation-i,Kanto,Smoochum,Jynx
125,Electabuzz,Electric,Generation-i,Kanto,Elekid,"Electabuzz, Electivire"
126,Magmar,Fire,Generation-i,Kanto,Magby,"Magmar, Magmortar"
127,Pinsir,Bug,Generation-i,Kanto,,
128,Tauros,Normal,Generation-i,Kanto,,
129,Magikarp,Water,Generation-i,Kanto,Magikarp,Gyarados
130,Gyarados,"Water, Flying",Generation-i,Kanto,Magikarp,Gyarados
131,Lapras,"Water, Ice",Generation-i,Kanto,,
132,Ditto,Normal,Generation-i,Kanto,,
133,Eevee,Normal,Generation-i,Kanto,Eevee,Vaporeon
134,Vaporeon,Water,Generation-i,Kanto,Eevee,Vaporeon
