Pokedex Number,Name,Types,Generation,Region,Evolution_from,Evolution_to
1,Bulbasaur,"Grass, Poison",Generation-i,Kanto,,Ivysaur
2,Ivysaur,"Grass, Poison",Generation-i,Kanto,Bulbasaur,Venusaur
3,Venusaur,"Grass, Poison",Generation-i,Kanto,Ivysaur,
4,Charmander,Fire,Generation-i,Kanto,,Charmeleon
5,Charmeleon,Fire,Generation-i,Kanto,Charmander,Charizard
6,Charizard,"Fire, Flying",Generation-i,Kanto,Charmeleon,
7,Squirtle,Water,Generation-i,Kanto,,Wartortle
8,Wartortle,Water,Generation-i,Kanto,Squirtle,Blastoise
9,Blastoise,Water,Generation-i,Kanto,Wartortle,
10,Caterpie,Bug,Generation-i,Kanto,,Metapod
11,Metapod,Bug,Generation-i,Kanto,Caterpie,Butterfree
12,Butterfree,"Bug, Flying",Generation-i,Kanto,Metapod,
13,Weedle,"Bug, Poison",Generation-i,Kanto,,Kakuna
14,Kakuna,"Bug, Poison",Generation-i,Kanto,Weedle,Beedrill
15,Beedrill,"Bug, Poison",Generation-i,Kanto,Kakuna,
16,Pidgey,"Normal, Flying",Generation-i,Kanto,,Pidgeotto
17,Pidgeotto,"Normal, Flying",Generation-i,Kanto,Pidgey,Pidgeot
18,Pidgeot,"Normal, Flying",Generation-i,Kanto,Pidgeotto,
19,Rattata,Normal,Generation-i,Kanto,,Raticate
20,Raticate,Normal,Generation-i,Kanto,Rattata,
21,Spearow,"Normal, Flying",Generation-i,Kanto,,Fearow
22,Fearow,"Normal, Flying",Generation-i,Kanto,Spearow,
23,Ekans,Poison,Generation-i,Kanto,,Arbok
24,Arbok,Poison,Generation-i,Kanto,Ekans,
25,Pikachu,Electric,Generation-i,Kanto,Pichu,Raichu
26,Raichu,Electric,Generation-i,Kanto,Pikachu,
27,Sandshrew,Ground,Generation-i,Kanto,,Sandslash
28,Sandslash,Ground,Generation-i,Kanto,Sandshrew,
29,Nidoran-f,Poison,Generation-i,Kanto,,Nidorina
30,Nidorina,Poison,Generation-i,Kanto,Nidoran-f,Nidoqueen
31,Nidoqueen,"Poison, Ground",Generation-i,Kanto,Nidorina,
32,Nidoran-m,Poison,Generation-i,Kanto,,Nidorino
33,Nidorino,Poison,Generation-i,Kanto,Nidoran-m,Nidoking
34,Nidoking,"Poison, Ground",Generation-i,Kanto,Nidorino,
35,Clefairy,Fairy,Generation-i,Kanto,Cleffa,Clefable
36,Clefable,Fairy,Generation-i,Kanto,Clefairy,
37,Vulpix,Fire,Generation-i,Kanto,,Ninetales
38,Ninetales,Fire,Generation-i,Kanto,Vulpix,
39,Jigglypuff,"Normal, Fairy",Generation-i,Kanto,Igglybuff,Wigglytuff
40,Wigglytuff,"Normal, Fairy",Generation-i,Kanto,Jigglypuff,
41,Zubat,"Poison, Flying",Generation-i,Kanto,,Golbat
42,Golbat,"Poison, Flying",Generation-i,Kanto,Zubat,Crobat
43,Oddish,"Grass, Poison",Generation-i,Kanto,,Gloom
44,Gloom,"Grass, Poison",Generation-i,Kanto,Oddish,Vileplume Bellossom
45,Vileplume,"Grass, Poison",Generation-i,Kanto,Gloom,
46,Paras,"Bug, Grass",Generation-i,Kanto,,Parasect
47,Parasect,"Bug, Grass",Generation-i,Kanto,Paras,
48,Venonat,"Bug, Poison",Generation-i,Kanto,,Venomoth
49,Venomoth,"Bug, Poison",Generation-i,Kanto,Venonat,
50,Diglett,Ground,Generation-i,Kanto,,Dugtrio
51,Dugtrio,Ground,Generation-i,Kanto,Diglett,
52,Meowth,Normal,Generation-i,Kanto,,Persian
53,Persian,Normal,Generation-i,Kanto,Meowth,
54,Psyduck,Water,Generation-i,Kanto,,Golduck
55,Golduck,Water,Generation-i,Kanto,Psyduck,
56,Mankey,Fighting,Generation-i,Kanto,,Primeape
57,Primeape,Fighting,Generation-i,Kanto,Mankey,Annihilape
58,Growlithe,Fire,Generation-i,Kanto,,Arcanine
59,Arcanine,Fire,Generation-i,Kanto,Growlithe,
60,Poliwag,Water,Generation-i,Kanto,,Poliwhirl
61,Poliwhirl,Water,Generation-i,Kanto,Poliwag,Poliwrath Politoed
62,Poliwrath,"Water, Fighting",Generation-i,Kanto,Poliwhirl,
63,Abra,Psychic,Generation-i,Kanto,,Kadabra
64,Kadabra,Psychic,Generation-i,Kanto,Abra,Alakazam
65,Alakazam,Psychic,Generation-i,Kanto,Kadabra,
66,Machop,Fighting,Generation-i,Kanto,,Machoke
67,Machoke,Fighting,Generation-i,Kanto,Machop,Machamp
68,Machamp,Fighting,Generation-i,Kanto,Machoke,
69,Bellsprout,"Grass, Poison",Generation-i,Kanto,,Weepinbell
70,Weepinbell,"Grass, Poison",Generation-i,Kanto,Bellsprout,Victreebel
71,Victreebel,"Grass, Poison",Generation-i,Kanto,Weepinbell,
72,Tentacool,"Water, Poison",Generation-i,Kanto,,Tentacruel
73,Tentacruel,"Water, Poison",Generation-i,Kanto,Tentacool,
74,Geodude,"Rock, Ground",Generation-i,Kanto,,Graveler
75,Graveler,"Rock, Ground",Generation-i,Kanto,Geodude,Golem
