PokedexNumber,TypeIDs
1,"10, 14"
2,"10, 14"
3,"10, 14"
4,7
5,7
6,"7, 8"
7,18
8,18
9,18
10,1
11,1
12,"1, 8"
13,"1, 14"
14,"1, 14"
15,"1, 14"
16,"13, 8"
17,"13, 8"
18,"13, 8"
19,13
20,13
21,"13, 8"
22,"13, 8"
23,14
24,14
25,4
26,4
27,11
28,11
29,14
30,14
31,"14, 11"
32,14
33,14
34,"14, 11"
35,5
36,5
37,7
38,7
39,"13, 5"
40,"13, 5"
41,"14, 8"
42,"14, 8"
43,"10, 14"
44,"10, 14"
45,"10, 14"
46,"1, 10"
47,"1, 10"
48,"1, 14"
49,"1, 14"
50,11
51,11
52,13
53,13
54,18
55,18
56,6
57,6
58,7
59,7
60,18
61,18
62,"18, 6"
63,15
64,15
65,15
66,6
67,6
68,6
69,"10, 14"
70,"10, 14"
71,"10, 14"
72,"18, 14"
73,"18, 14"
74,"16, 11"
75,"16, 11"
76,"16, 11"
77,7
78,7
79,"18, 15"
80,"18, 15"
81,"4, 17"
82,"4, 17"
83,"13, 8"
84,"13, 8"
85,"13, 8"
86,18
87,"18, 12"
88,14
89,14
90,18
91,"18, 12"
92,"9, 14"
93,"9, 14"
94,"9, 14"
95,"16, 11"
96,15
97,15
98,18
99,18
100,4
101,4
102,"10, 15"
103,"10, 15"
104,11
105,11
106,6
107,6
108,13
109,14
110,14
111,"11, 16"
112,"11, 16"
113,13
114,10
115,13
116,18
117,18
118,18
119,18
120,18
121,"18, 15"
122,"15, 5"
123,"1, 8"
124,"12, 15"
125,4
126,7
127,1
128,13
129,18
130,"18, 8"
131,"18, 12"
132,13
133,13
134,18
135,4
136,7
137,13
138,"16, 18"
139,"16, 18"
140,"16, 18"
141,"16, 18"
142,"16, 8"
143,13
144,"12, 8"
145,"4, 8"
146,"7, 8"
147,3
148,3
149,"3, 8"
150,15
151,15
152,10
153,10
154,10
155,7
156,7
157,7
158,18
159,18
160,18
161,13
162,13
163,"13, 8"
164,"13, 8"
165,"1, 8"
166,"1, 8"
167,"1, 14"
168,"1, 14"
169,"14, 8"
170,"18, 4"
171,"18, 4"
172,4
173,5
174,"13, 5"
175,5
176,"5, 8"
177,"15, 8"
178,"15, 8"
179,4
180,4
181,4
182,10
183,"18, 5"
184,"18, 5"
185,16
186,18
187,"10, 8"
188,"10, 8"
189,"10, 8"
190,13
191,10
192,10
193,"1, 8"
194,"18, 11"
195,"18, 11"
196,15
197,2
198,"2, 8"
199,"18, 15"
200,9
201,15
202,15
203,"13, 15"
204,1
205,"1, 17"
206,13
207,"11, 8"
208,"17, 11"
209,5
210,5
211,"18, 14"
212,"1, 17"
213,"1, 16"
214,"1, 6"
215,"2, 12"
216,13
217,13
218,7
219,"7, 16"
220,"12, 11"
221,"12, 11"
222,"18, 16"
223,18
224,18
225,"12, 8"
226,"18, 8"
227,"17, 8"
228,"2, 7"
229,"2, 7"
230,"18, 3"
231,11
232,11
233,13
234,13
235,13
236,6
237,6
238,"12, 15"
239,4
240,7
241,13
242,13
243,4
244,7
245,18
246,"16, 11"
247,"16, 11"
248,"16, 2"
249,"15, 8"
250,"7, 8"
251,"15, 10"
252,10
253,10
254,10
255,7
256,"7, 6"
257,"7, 6"
258,18
259,"18, 11"
260,"18, 11"
261,2
262,2
263,13
264,13
265,1
266,1
267,"1, 8"
268,1
269,"1, 14"
270,"18, 10"
271,"18, 10"
272,"18, 10"
273,10
274,"10, 2"
275,"10, 2"
276,"13, 8"
277,"13, 8"
278,"18, 8"
279,"18, 8"
280,"15, 5"
281,"15, 5"
282,"15, 5"
283,"1, 18"
284,"1, 8"
285,10
286,"10, 6"
287,13
288,13
289,13
290,"1, 11"
291,"1, 8"
292,"1, 9"
293,13
294,13
295,13
296,6
297,6
298,"13, 5"
299,16
300,13
301,13
302,"2, 9"
303,"17, 5"
304,"17, 16"
305,"17, 16"
306,"17, 16"
307,"6, 15"
308,"6, 15"
309,4
310,4
311,4
312,4
313,1
314,1
315,"10, 14"
316,14
317,14
318,"18, 2"
319,"18, 2"
320,18
321,18
322,"7, 11"
323,"7, 11"
324,7
325,15
326,15
327,13
328,11
329,"11, 3"
330,"11, 3"
331,10
332,"10, 2"
333,"13, 8"
334,"3, 8"
335,13
336,14
337,"16, 15"
338,"16, 15"
339,"18, 11"
340,"18, 11"
341,18
342,"18, 2"
343,"11, 15"
344,"11, 15"
345,"16, 10"
346,"16, 10"
347,"16, 1"
348,"16, 1"
349,18
350,18
351,13
352,13
353,9
354,9
355,9
356,9
357,"10, 8"
358,15
359,2
360,15
361,12
362,12
363,"12, 18"
364,"12, 18"
365,"12, 18"
366,18
367,18
368,18
369,"18, 16"
370,18
371,3
372,3
373,"3, 8"
374,"17, 15"
375,"17, 15"
376,"17, 15"
377,16
378,12
379,17
380,"3, 15"
381,"3, 15"
382,18
383,11
384,"3, 8"
385,"17, 15"
386,15
387,10
388,10
389,"10, 11"
390,7
391,"7, 6"
392,"7, 6"
393,18
394,18
395,"18, 17"
396,"13, 8"
397,"13, 8"
398,"13, 8"
399,13
400,"13, 18"
401,1
402,1
403,4
404,4
405,4
406,"10, 14"
407,"10, 14"
408,16
409,16
410,"16, 17"
411,"16, 17"
412,1
413,"1, 10"
414,"1, 8"
415,"1, 8"
416,"1, 8"
417,4
418,18
419,18
420,10
421,10
422,18
423,"18, 11"
424,13
425,"9, 8"
426,"9, 8"
427,13
428,13
429,9
430,"2, 8"
431,13
432,13
433,15
434,"14, 2"
435,"14, 2"
436,"17, 15"
437,"17, 15"
438,16
439,"15, 5"
440,13
441,"13, 8"
442,"9, 2"
443,"3, 11"
444,"3, 11"
445,"3, 11"
446,13
447,6
448,"6, 17"
449,11
450,11
451,"14, 1"
452,"14, 2"
453,"14, 6"
454,"14, 6"
455,10
456,18
457,18
458,"18, 8"
459,"10, 12"
460,"10, 12"
461,"2, 12"
462,"4, 17"
463,13
464,"11, 16"
465,10
466,4
467,7
468,"5, 8"
469,"1, 8"
470,10
471,12
472,"11, 8"
473,"12, 11"
474,13
475,"15, 6"
476,"16, 17"
477,9
478,"12, 9"
479,"4, 9"
480,15
481,15
482,15
483,"17, 3"
484,"18, 3"
485,"7, 17"
486,13
487,"9, 3"
488,15
489,18
490,18
491,2
492,10
493,13
494,"15, 7"
495,10
496,10
497,10
498,7
499,"7, 6"
500,"7, 6"
501,18
502,18
503,18
504,13
505,13
506,13
507,13
508,13
509,2
510,2
511,10
512,10
513,7
514,7
515,18
516,18
517,15
518,15
519,"13, 8"
520,"13, 8"
521,"13, 8"
522,4
523,4
524,16
525,16
526,16
527,"15, 8"
528,"15, 8"
529,11
530,"11, 17"
531,13
532,6
533,6
534,6
535,18
536,"18, 11"
537,"18, 11"
538,6
539,6
540,"1, 10"
541,"1, 10"
542,"1, 10"
543,"1, 14"
544,"1, 14"
545,"1, 14"
546,"10, 5"
547,"10, 5"
548,10
549,10
550,18
551,"11, 2"
552,"11, 2"
553,"11, 2"
554,7
555,7
556,10
557,"1, 16"
558,"1, 16"
559,"2, 6"
560,"2, 6"
561,"15, 8"
562,9
563,9
564,"18, 16"
565,"18, 16"
566,"16, 8"
567,"16, 8"
568,14
569,14
570,2
571,2
572,13
573,13
574,15
575,15
576,15
577,15
578,15
579,15
580,"18, 8"
581,"18, 8"
582,12
583,12
584,12
585,"13, 10"
586,"13, 10"
587,"4, 8"
588,1
589,"1, 17"
590,"10, 14"
591,"10, 14"
592,"18, 9"
593,"18, 9"
594,18
595,"1, 4"
596,"1, 4"
597,"10, 17"
598,"10, 17"
599,17
600,17
601,17
602,4
603,4
604,4
605,15
606,15
607,"9, 7"
608,"9, 7"
609,"9, 7"
610,3
611,3
612,3
613,12
614,12
615,12
616,1
617,1
618,"11, 4"
619,6
620,6
621,3
622,"11, 9"
623,"11, 9"
624,"2, 17"
625,"2, 17"
626,13
627,"13, 8"
628,"13, 8"
629,"2, 8"
630,"2, 8"
631,7
632,"1, 17"
633,"2, 3"
634,"2, 3"
635,"2, 3"
636,"1, 7"
637,"1, 7"
638,"17, 6"
639,"16, 6"
640,"10, 6"
641,8
642,"4, 8"
643,"3, 7"
644,"3, 4"
645,"11, 8"
646,"3, 12"
647,"18, 6"
648,"13, 15"
649,"1, 17"
650,10
651,10
652,"10, 6"
653,7
654,7
655,"7, 15"
656,18
657,18
658,"18, 2"
659,13
660,"13, 11"
661,"13, 8"
662,"7, 8"
663,"7, 8"
664,1
665,1
666,"1, 8"
667,"7, 13"
668,"7, 13"
669,5
670,5
671,5
672,10
673,10
674,6
675,"6, 2"
676,13
677,15
678,15
679,"17, 9"
680,"17, 9"
681,"17, 9"
682,5
683,5
684,5
685,5
686,"2, 15"
687,"2, 15"
688,"16, 18"
689,"16, 18"
690,"14, 18"
691,"14, 3"
692,18
693,18
694,"4, 13"
695,"4, 13"
696,"16, 3"
697,"16, 3"
698,"16, 12"
699,"16, 12"
700,5
701,"6, 8"
702,"4, 5"
703,"16, 5"
704,3
705,3
706,3
707,"17, 5"
708,"9, 10"
709,"9, 10"
710,"9, 10"
711,"9, 10"
712,12
713,12
714,"8, 3"
715,"8, 3"
716,5
717,"2, 8"
718,"3, 11"
719,"16, 5"
720,"15, 9"
721,"7, 18"
722,"10, 8"
723,"10, 8"
724,"10, 9"
725,7
726,7
727,"7, 2"
728,18
729,18
730,"18, 5"
731,"13, 8"
732,"13, 8"
733,"13, 8"
734,13
735,13
736,1
737,"1, 4"
738,"1, 4"
739,6
740,"6, 12"
741,"7, 8"
742,"1, 5"
743,"1, 5"
744,16
745,16
746,18
747,"14, 18"
748,"14, 18"
749,11
750,11
751,"18, 1"
752,"18, 1"
753,10
754,10
755,"10, 5"
756,"10, 5"
757,"14, 7"
758,"14, 7"
759,"13, 6"
760,"13, 6"
761,10
762,10
763,10
764,5
765,"13, 15"
766,6
767,"1, 18"
768,"1, 18"
769,"9, 11"
770,"9, 11"
771,18
772,13
773,13
774,"16, 8"
775,13
776,"7, 3"
777,"4, 17"
778,"9, 5"
779,"18, 15"
